name,twitterId,tweetId,tweet
austinhankwitz,212588094,1879560482585284731,@bman0892 @SahilBloom Never thought about this! We'll address. Thank you!
austinhankwitz,212588094,1879559065178906674,Excited about this one! https://t.co/PBwJYuwP4S
austinhankwitz,212588094,1879299573895843870,"RT @Stocktwits: Could physical AI be the next big secular growth trend? @austinhankwitz thinks so 👀

What do you think?

Special thanks to…"
austinhankwitz,212588094,1879184531754004528,RT @Stocktwits: Don't miss @austinhankwitz from  @Grit_Capital on today's Daily Rip Live!
austinhankwitz,212588094,1877808387431272568,@GRDecter So excited for you Gen :)
austinhankwitz,212588094,1876781793828884541,@ChrisCamillo @QuiverQuant has the best tools and resources for this type of political portfolio info — happy to connect you with their team if helpful
austinhankwitz,212588094,1876730922956984615,"@marshal Just subbed to the newsletter. 

Congrats on a well-deserved 2024! Can’t wait to see what you accomplish in 2025."
austinhankwitz,212588094,1875259311385137253,"This is going to be a blast! 

Sign up ASAP before we run out of free copies of @SahilBloom new book 📖!! https://t.co/MDCHLYhx3j"
austinhankwitz,212588094,1875259144208576874,"@SahilBloom @Grit_Capital @GRDecter Looking forward to the event, Sahil!"
austinhankwitz,212588094,1874121503752822949,@JaguarAnalytics Kudos to an incredible year!
awealthofcs,97530284,1879679795099029860,RT @TheCompoundNews: Animal Spirits 395 Just Dropped on YouTube! Enjoy🆕💸🎥https://t.co/XGgvbesomE https://t.co/8eCguDCc1h
awealthofcs,97530284,1879657165931319330,"RT @TheCompoundNews: Ask The Compound 156 is out now on all podcast platforms! Enjoy🎙️💸

▶️https://t.co/4hfKjqy30V

@awealthofcs @duncanhil…"
awealthofcs,97530284,1879598260664594923,@Bluewaterfp Amen
awealthofcs,97530284,1879589646021308594,RT @TheCompoundNews: ASK THE COMPOUND LIVE WITH @awealthofcs https://t.co/VVJ73KIulv
awealthofcs,97530284,1879584031270207617,@ChrisRondinelli lol always!
awealthofcs,97530284,1879583988265914375,"RT @TheCompoundNews: Is It Time to Take Money off the Table?💸

New episode of ATC goes live on YouTube and X at 1pm ET! Tune in as @awealth…"
awealthofcs,97530284,1879583945525993941,@nolordofthine It’s a made up number! But fair
awealthofcs,97530284,1879558863286112614,@BryanGForsyth Inflation is on the table
awealthofcs,97530284,1879554094395978190,@Murph_eth @TheCompoundNews @ycharts @michaelbatnick @meetfabric Thank you!
awealthofcs,97530284,1879540606722256948,@alanredspan It’s sillier to imagine we’re gonna have hyperinflation
BarChart,28212513,1879733275373240748,@reisession https://t.co/ajUGIRzYIy
BarChart,28212513,1879733201620607048,@vm1953 https://t.co/mgLhTVeV3b
BarChart,28212513,1879733106497945683,@danielnewmanUV https://t.co/f2Y2y3t9L4
BarChart,28212513,1879732852046414017,@TyAccornero 😂
BarChart,28212513,1879732783893148147,@TeslaHype 😂
BarChart,28212513,1879731658301342199,@FLMorissette 😂
BarChart,28212513,1879731606556213395,@ne7runn3r yeah had to double check that as well 😂
BarChart,28212513,1879731545583558749,@IndigenousVC 😂🫡
BarChart,28212513,1879731493372908011,@1mikevartanian 🫡
BarChart,28212513,1879731445792698461,@simplyStonks at some point in the future 😂
barronsonline,20449296,1879665386175545769,Short Seller Hindenburg Research Closes Up Shop https://t.co/yrOljCgBPh
barronsonline,20449296,1879663087562698770,This Defense Contractor Penned a Letter to Elon Musk on Cutting Costs https://t.co/9gVXbE5adv
barronsonline,20449296,1879649284338966826,"Expand Electrical Grid and Nuclear Power, Energy Secretary Pick Wright Testifies at Hearing https://t.co/aK3xB6xlXn"
barronsonline,20449296,1879647031024656649,UnitedHealth to Report Earnings in Altered Landscape After Executive’s Killing https://t.co/dSeaCglBEw
barronsonline,20449296,1879642417445433618,TSMC Earnings Are Coming. AI Chip Demand and U.S. Export Curbs Are in Focus. https://t.co/Sb54k0KGdx
barronsonline,20449296,1879640011097739569,"Bond-Yield Forecasts Are Rising, Weeks After Street Made Its ‘25 Calls https://t.co/Ha8gRnYHa5"
barronsonline,20449296,1879637744470667425,Trump’s Inauguration Fund Is Flush. A Few Mag 7 Firms are Holding Out. https://t.co/XXtMvfLefI
barronsonline,20449296,1879636633252708583,Adobe CEO Sees AI Tailwind and Calls Stock an ‘Incredible Value’ https://t.co/ATLC59WnNB
barronsonline,20449296,1879624976988360858,AG Pick Pam Bondi Asserts Independence in Heated Testimony https://t.co/i1n4XffTvR
barronsonline,20449296,1879618055132578262,This Will Be the ‘Year of Agentic AI.’ Analyst Shares His Top Pick to Play the Trend. https://t.co/knIRzSC9Pl
Benzinga,44060322,1879730177703288944,"RT @Benzinga: Inflation is back on the rise, hitting 2.9% in December—the highest since July 2024. With energy costs soaring (gasoline up 4…"
Benzinga,44060322,1879719975616749961,"@nohtal, founder of @sortingrobotics, went from helping create oxygen on Mars 🪐 to revolutionizing cannabis manufacturing with cutting-edge robots! 🤖💨

After his time at NASA, he co-founded Sorting Robotics, which is changing the game in cannabis production. Their Goo Robot… https://t.co/j8W7BT60E2 https://t.co/oJdXc4mNyi"
Benzinga,44060322,1879710335495479449,RT @Benzinga: Where we left off: https://t.co/sr1YS6DE7k
Benzinga,44060322,1879708651075629179,"Want to know where tech titans are placing their bets? Bill Gates, Jeff Bezos, and Ray Dalio are all in on KoBold Metals—a mining company using AI to challenge China's dominance in rare-earth metals like lithium and copper. 🌍⚡

Why is this a game-changer? Rare-earth metals are… https://t.co/l8dtfHEoP6 https://t.co/yiMntxTFio"
Benzinga,44060322,1879695226752635156,"RT @Benzinga: Benzinga’s PreMarket Playbook [LIVE] 🔴 + All Access | January 15th, 2025 https://t.co/d9HZ60V5Tn"
Benzinga,44060322,1879690279969595881,"The SEC is suing Elon Musk, claiming he hid his stake in Twitter (now X) back in 2022. Why? Allegedly, this move let him snap up shares at “artificially low prices.” 🧐💸

Here’s the scoop: By March 2022, Musk quietly owned over 5% of Twitter stock but didn’t report it on time.… https://t.co/xwUYO1GcEW https://t.co/zGoMFnic6k"
Benzinga,44060322,1879681856695595110,RT @Benzinga: Good morning! ☕ Like this tweet for good luck
Benzinga,44060322,1879678955382341642,"🏀 Shaquille O'Neal, the NBA legend known for his world championships and Google pre-IPO investment, might have just found his next big tech winner: Zeta Global! 

Zeta Global is a data-driven marketing powerhouse using AI to help brands grow and boost profitability—especially… https://t.co/dQdTn9T5ih https://t.co/QLwHmmtF4p"
Benzinga,44060322,1879669392205656139,Europe's largest economic powerhouse just posted its second straight year of shrinkage. 👀👇🏼 https://t.co/6IWms0zC07
Benzinga,44060322,1879657816685936692,"President-elect Trump has tapped none other than Elon Musk to lead a bold new initiative to overhaul the federal government. Musk’s mission? Streamline Washington by slashing bureaucracy, cutting waste, and challenging the status quo.

Musk didn’t hold back, questioning:
""Do we… https://t.co/UiSzsNPhSr https://t.co/5XtjWXNMT6"
BillAckman,880412538625810432,1879725956925116804,Good idea. @VivekGRamaswamy will be great. https://t.co/CJfORUgoho
BillAckman,880412538625810432,1879709893894242458,RT @TheFigen_: Awesome table tennis rally. https://t.co/e8cNXvceI8
BillAckman,880412538625810432,1879694479520850030,"RT @EYakoby: Incoming National Security Advisor Mike Walz on Fox News just now: 

“I’d like to make something very clear to Israelis, if yo…"
BillAckman,880412538625810432,1879677126049448150,@g_buckman Yea
BillAckman,880412538625810432,1879677056759562651,@darren_unruh 90 min
BillAckman,880412538625810432,1879657310253166797,The other link was not functioning properly.
BillAckman,880412538625810432,1879657190820311174,"Please use this link for tomorrow's Fannie Freddie Presentation at 9:00am EST:

https://t.co/TSrSLkfEWX"
BillAckman,880412538625810432,1879655804665766252,"I underestimated the insurance losses on art in California.  You should add another billion to estimates.

And we now know how Hunter will fund his lifestyle going forward. https://t.co/xkea7Of9Ne"
BillAckman,880412538625810432,1879654093129388474,"To clarify today's $UMG press release posted below, Pershing Square exercised its registration rights in UMG in order to catalyze a U.S. listing of the company.  Our reg rights agreement requires that Pershing Square sell $500 million of UMG shares (of its current $3.3 billion… https://t.co/2VchR10TIA https://t.co/ZA5Y2AgfYU"
breadcrumbsre,258522742,1879638302204350670,@yesandnotyes Insiders offloading shares at ipo. Red flag 🙂
breadcrumbsre,258522742,1879630867053924446,@ChairliftCap Starting an oil fund
breadcrumbsre,258522742,1879482446187766259,@CJ0pp3l I like the way he thinks
breadcrumbsre,258522742,1879245069204824512,RT @knacapital: KNA Capital CIO @toddwenning recently appeared on the Compounders podcast with @BenClaremon. They covered the importance of…
breadcrumbsre,258522742,1879230613242450101,"RT @brendan_snow: Hi everyone, I'm looking at organizing an insurance-focused dinner in Omaha on Friday, May 2nd. 

The idea is to bring in…"
breadcrumbsre,258522742,1879112686619029995,Spotify https://t.co/sY8ThComT7
breadcrumbsre,258522742,1878732876373741721,@ValueStockGeek On the other hand this research was prepared by people who have never outperformed index in their lives so…
breadcrumbsre,258522742,1878732083776094693,@MikeFritzell It’s scars from the past. We are afraid most of what we have seen previously  and old investors have gone through inflationary 70s-80s
breadcrumbsre,258522742,1878509222591115415,"@HiddenMonopoly The point is not that this is wrong but all these studies should be taken with a grain of salt. Results depend on the size of sample, period taken, industries, geographies"
breadcrumbsre,258522742,1878508619194413192,@HiddenMonopoly There are a bunch of different studies showing roics revert to the mean over the same timeframe
BrianFeroldi,61558281,1879700275830648957,3 Depreciation Methods Explained Simply 📉 https://t.co/u0fwhUK9jy
BrianFeroldi,61558281,1879652973086691537,"How the 3 financial statements link.

You can learn a lot about accounting by studying this image: https://t.co/YTK6Y0OjNb"
BrianFeroldi,61558281,1879635327184216451,"RT @BrianFeroldi: Analysis paralysis is real.

Define when you know enough to make an investment decision https://t.co/fx1ue01ITy"
BrianFeroldi,61558281,1879622526185120196,"Accounts Receivable vs Accounts Payable

What's the difference? https://t.co/P12LZn2nCo"
BrianFeroldi,61558281,1879591560544755808,"The best investment plan for you isn't based on some formula.

It's the one you'll actually stick with when markets are crashing."
BrianFeroldi,61558281,1879561667484299533,"If you enjoyed this thread, follow me @brianferoldi.

Want to share this with your followers? 

Retweet the first tweet below: https://t.co/upYoUQOx3w"
BrianFeroldi,61558281,1879561663583539626,"If you like visuals like this, you'll love my free accounting infographic ebook.

Grab a copy here: https://t.co/CTFiRJWUhT https://t.co/0HfjJ2bYwo"
BrianFeroldi,61558281,1879561656038023188,"WACC is a benchmark for evaluating projects &amp; acquisitions.

WACC is also the discount rate for future cash flows when performing a DCF analysis.

Investments, projects, &amp; acquisitions should only proceed when the expected return is greater than WACC. https://t.co/PydCcAuEiQ"
BrianFeroldi,61558281,1879561648706339045,"WACC = [(E/V) x Re] + [(D/V) x Rd x (1 - Tc)]

E = Market value of the firm’s equity
D = Market value of the firm’s debt
V = E + D
Re = Cost of equity
Rd = Cost of debt
Tc = Corporate tax rate

WACC is a sum of the weighting of each capital source https://t.co/mrBaXTCLkg"
BrianFeroldi,61558281,1879561638858121397,"WACC is the average after-tax expense of capital for a company from all of its sources. 

This includes common stock, preferred stock, bonds, and other hybrid debt &amp; equity instruments.

WACC is the mean rate a company pays to fund its operations. https://t.co/wr2i3blMfV"
awealthofcs,97530284,1879745254443888924,@syouth1 A tale as old as markets. Good one
awealthofcs,97530284,1879741096328376828,"Individual income level required to be in the top 10% in the US by year:

1964: $8,100

1974: $15,300

1984: $32,000

1994: $50,200

2004: $75,300

2014: $100,000

2024: $150,000"
BarChart,28212513,1879743641113292910,@SteveUrkelDude https://t.co/85uTgVJhCe
BarChart,28212513,1879742648623497481,H/T: @dailychartbook
BarChart,28212513,1879742540506968286,Fund Managers are now the least bullish on Small Cap Stocks in history 🚨 https://t.co/xfe7JIIMZe
BarChart,28212513,1879738520828543456,@Quikfish123 but will it be the low low or is more pain coming?
BarChart,28212513,1879738302141809135,@ClarityDrivenX They must have a model that pinpointed the drop at exactly 70% 😂
BarChart,28212513,1879737158342418822,Source: @bespokeinvest
BarChart,28212513,1879735671499460815,Today's 11 point drop in the Real Yield was the largest decline since December 2023 🚨 https://t.co/2XqLnWwgBu
Benzinga,44060322,1879745141302587803,"""‘Play well enough to get another game’ – wise words from Jensen Huang. It’s all about staying in the game, pushing through the challenges, and earning your next opportunity. 💡 https://t.co/VWDDCuq63g"
Benzinga,44060322,1879743514541441339,"RT @Benzinga: In a shocking turn of events, South Korea’s Hyundai $HYMTF and Kia $KIMTF have outperformed American giant Ford $F in U.S. EV…"
Benzinga,44060322,1879737495211868540,RT @Benzinga: Could MrBeast save TikTok from a U.S. shutdown? 🤯 The YouTube superstar revealed he's in talks with billionaires to explore b…
BuccoCapital,1398828682828038146,1879641364625060003,https://t.co/5S94PwFShh https://t.co/jP8kMWs8dx
BuccoCapital,1398828682828038146,1879558406589350021,“Guy who hate immigrants but also doesn’t want to do work he perceives to be beneath him” is such a funny type of guy and our big beautiful country is full of ‘em
BuccoCapital,1398828682828038146,1879526333656805802,"""Amazon, Google and Microsoft have reduced M.B.A. recruiting, as have consulting firms, recent graduates and business school staff said."" https://t.co/R8Ibd5Rk68"
BuccoCapital,1398828682828038146,1879225677234500059,"My fellow Americans, our long national nightmare is over https://t.co/y4XDsmX2hN"
BuccoCapital,1398828682828038146,1879218860181840012,@WaterworldCapi1 It's over for booze and real diamonds
BuccoCapital,1398828682828038146,1878958963640938940,@JaredSleeper @DerekTrout Amazing lol
BuccoCapital,1398828682828038146,1878602288182571291,@dalibali2 The everything app
BuccoCapital,1398828682828038146,1878601476819554742,"For You feed:
- Guy being beheaded 
- A picture of Hitler with the caption “we owe him an apology”
- Guy with zero domain knowledge explaining how to stop fires
- TikTok video with caption “😭😭”
- Most racist thing you’ve ever read
- Taleb calling someone an imbecile"
BuccoCapital,1398828682828038146,1878461366882750525,https://t.co/o6NzsAx35U
BuccoCapital,1398828682828038146,1878461178667561032,"“In 2022, adults spent an additional 99 minutes at home on any given day compared with 2003.“

Increasingly, we are living an isolated and remote existence. Great article from @DKThomp https://t.co/jEeW2BI4G6"
BullishRippers,1405022246658359297,1808946129616392503,RT @TickerHistory: California Chinese Fireworks Productions Stock Certificate from 2004 https://t.co/1NeyLPkXtl
BullishRippers,1405022246658359297,1798758146447642771,RT @BullishStudio: More details about our old stock and bond certificate  pop-up tomorrow from @cllctMedia @Will__Stern!
BullishRippers,1405022246658359297,1798499663022260659,"RT @TickerHistory: Stock and bond certificates are the ultimate melding of creativity and commerce. 

To celebrate this history ahead of fa…"
BullishRippers,1405022246658359297,1793465583788569067,"@beehiiv Oh ya, throwback to our interview with @maybebullish @roundhill $BETZ https://t.co/DphCOPyVK1"
BullishRippers,1405022246658359297,1793463673513820662,@ej_beehiiv @beehiiv beehiiv SEO
BullishRippers,1405022246658359297,1790044203801596141,"Throwback to what @TheRoaringKitty really wanted to say during his congressional testimony.

https://t.co/qp92dwXAMx"
BullishRippers,1405022246658359297,1788438685957956066,"In 1929, approximately 10 percent of American households owned stocks.

Today, 61% of Americans own stock. https://t.co/biS2AsCDXm"
BullishRippers,1405022246658359297,1770076531882144098,$NVDA bulls are in shambles right now https://t.co/cSTX47coZe
BullishRippers,1405022246658359297,1768673880082886726,@JMatthewMcGarry 👋
BullishRippers,1405022246658359297,1768025413874241637,"Check out the latest Bullish Rippers Mid-Week Recap where we cover the stocks that are ripping &amp; dipping, the Tiktok Ban Bill, and celebrate Microsoft’s IPO 

Read Below: https://t.co/wbt7yLe6ft"
business,34713362,1879752450975863247,"Trump’s announcement of an “External Revenue Service” signals his intent to follow through on trade threats towards China.

We're answering questions about the foreign policy implications of Trump’s second term.
🎧 Tune in on January 17 at 3 p.m. HKT: https://t.co/b3LJtTqonM https://t.co/nTGQI9Dgrl"
business,34713362,1879752447599501616,"China Vanke, long considered a bellwether of the country’s property market, is facing a deepening bond selloff as worries grow about its mountain of debt coming due and a property crisis that remains entrenched despite government rescue efforts https://t.co/cEKLuEFow3"
business,34713362,1879751824636297372,"Washington has added Tencent-backed startup Zhipu to a trade-restrictions blacklist, taking aim at one of a handful of fledgling firms considered frontrunners in the race to develop an answer to OpenAI’s ChatGPT https://t.co/q5SuZOxA7F"
business,34713362,1879751285005517232,"Investment management firm Vertical Theme Sdn. is planning to seek approval in the coming weeks to start talks about selling its stake in Alliance Bank Malaysia Bhd., according to people familiar with the development. https://t.co/d4hipFzUQ4"
business,34713362,1879746404978930024,"President Joe Biden warns of a “dangerous concentration of power” in the hands of a few ultra-wealthy people, threatening democracy and basic rights during his farewell address from the White House https://t.co/3zMGtU7fd7 https://t.co/hZ3YIDLUgC"
business,34713362,1879742135911559398,"From Kanazawa to Kyushu, here are the places to visit in Japan to avoid the crowds on your next vacation https://t.co/rQKWc3Mgat"
business,34713362,1879741883724784056,"In his farewell address, President Joe Biden warned Americans of a ""dangerous concentration of power"" in the hands of a ""very few ultra-wealthy people"" https://t.co/7F6iR8IoBD"
business,34713362,1879741437245284439,"Exclusive: Three more global hedge funds are expanding to Hong Kong, providing a relief to the city that’s anxious to revive its appeal as a regional financial hub https://t.co/B8aIMoeRET"
business,34713362,1879736604614410254,"India's quick-service restaurants, grappling with weak consumer demand and changing spending patterns, are now looking to the upcoming budget for some tax relief. Read for free with your email on what could move markets today https://t.co/GnXRiRaFe2"
